JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2458835.65417,1.5,,,Vis.,SSHA,,12,19,10star,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458835.6917,4.762,0.004,,U,KPL,,SAO 112958,SAO 113186,PEP,|SCOPE=10IN_CASS|SENSOR=SSP5|LOC=32.4N/93.9W|INDEX=UB|DELTA=0.000|K_U_EST=0.60|TU_U=0.0|CREFMAG=5.68|PROG=TJC_PEP_6.6|NO TRANSFORM; NO 2ND ORDER EXTINCTION|,0,1.20,Z,-3.488,-0.268,,ALF ORI,AAVSO,STD,,,,
2458836.0972,1.04,,,Vis.,SASC,,0.1 1.6,0.8 1.6,x24279ga,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458836.25000,1.20,,,Vis.,SIV,K,1.6,,StarCalc,,,,Z,,,,ALF ORI,,STD,,,,
2458836.30347,1.11,,,Vis.,BISA,,HR 1457,HR 1790,K,"""visual observer Ivan S. Bryukhanov (BISA) BY, AVSOPLEIONE""",,,Z,,,,ALF ORI,AVSOPLEIONE,STD,,,,
2458836.31250,1.15,,,Vis.,MAEA,,0.1,2.0,X24958AKV,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458836.380,1.6,,,Vis.,BNW,,NA,,NA,,,,Z,,,,ALF ORI,BAV,STD,,,,
2458836.392,1.1,,,Vis.,KMM,B,0.8,1.6,X24958LK,,,,Z,,,,alf Ori,UAG,STD,,,,
2458836.56597,1.2,,,Vis.,CKB,,08,17,13170BMV,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458836.6,1.2,,,Vis.,MOW,,09,12,10-STAR TUTORIAL,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458836.69444,1.1,,,Vis.,MDP,,04,09,10 star 2013,dim!,,,Z,,,,ALF ORI,RASC,STD,,,,
2458837.25069,1.20,,,Vis.,BISA,,HR 1457,HR 1790,K,"""VISDIG, camera \""Canon\""-510-A, err =+-0.07, limit=+2m, starry sky, arithmetic mean with several photos, Minsk.""",,,Z,,,,ALF ORI,AVSOPLEIONE,STD,,,,
2458837.27778,1.32,,,Vis.,BISA,,HR 1457,HR 1790,K,visual observer Ivan S. Bryukhanov (BISA),,,Z,,,,ALF ORI,AVSOPLEIONE,STD,,,,
2458837.330,1.5,,,Vis.,VOL,,09,16,10star tutorial,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458837.3320,1.325,0.039,,V,VOL,,GAM ORI = HD35468,ZET ORI = HD37742,,,1,1.77,Z,1.64,1.951,,ALF ORI,AAVSO,STD,,,,
2458837.42986,1.09,,,Vis.,SGQ,,Bet Gem mv=1.16,Alf Tau mv=0.86,Tirion2000.0 and Sim,"""Roma, via Premuda. Naked eye with airmass correction.""",,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458837.53958,1.4,,,Vis.,SSHA,,12,19,10star,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458837.60694,1.2,,,Vis.,MCOA,,12,09,10 Star Tutorial,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458838.29168,1.4,,,Vis.,VSD,,1.6,,bsc,,,,Z,,,,ALF ORI,VVS,STD,,,,
2458838.42639,1.3,,,Vis.,GPIA,,08,16,X24928PS,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458838.56250,1.2,,,Vis.,DJUB,,alpha tau,bet aur,X24958BWU,,,,Z,,,,BETELGEUSE,AAVSO,STD,,,,
2458838.75000,1.55,,,Vis.,SSHA,U,12,17,10star,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458839.333,1.5,,,Vis.,WBOA,,0.84 Aldebaran ,1.64 Bellatrix ,X24963ATG,,,,Z,,,,alf Ori,AAVSO,STD,,,,
2458839.35069,1.4,,,Vis.,ATOB,,09,17,10-star,,,,Z,,,,ALF ORI,AS,STD,,,,
2458839.36458,1.3,,,Vis.,SDMA,UW,1.6,1.1,Atlas,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458839.5201,1.5,,,Vis.,VFK,K,12,,SELFM,LEIPZIG BL. AUGE,,,Z,,,,ALF ORI,BAV,STD,,,,
2458839.61458,1.3,,,Vis.,SHA,,1.2,1.6,10 star,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458839.63125,1.4,,,Vis.,MCOA,,12,17,10 Star Tutorial,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458839.64306,1.3,,,Vis.,MDP,,09,16,x24958clc,,,,Z,,,,ALF ORI,RASC,STD,,,,
2458839.66667,1.25,,,Vis.,DMIB,K,1.0,1.6,Tycho2,,,,Z,,,,BETELGEUSE,AAVSO,STD,,,,
2458839.678,0.7,,,Vis.,BGZ,,01,04,14473OH,,,,Z,,,,ALF ORI,,STD,,,,
2458839.68056,1.8,,,Vis.,SSHA,,17,19,10star,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458839.69792,1.5,,,Vis.,BQE,,16,17,Chart 83,,,,Z,,,,alf Ori,RASC,STD,,,,
2458840.21875,1.23,,,Vis.,BISA,,HR 1457,HR 1790,K,"""visual observer Tatiana Donchenko, Uzbekistan, UZ, AVSOPLEIONE""",,,Z,,,,ALF ORI,AVSOPLEIONE,STD,,,,
2458840.23542,1.27,,,Vis.,BISA,,HR 1457,HR 1790,K,"""visual observer Tatiana Donchenko, Uzbekistan, UZ, AVSOPLEIONE""",,,Z,,,,ALF ORI,AVSOPLEIONE,STD,,,,
2458840.23611,0.6,,,Vis.,GGC,,Rigel,Castor,Naked eye,,,,Z,,,,ALF ORI,,STD,,,,
2458840.34653,1.4,,,Vis.,RMU,,0.86,1.64,sa1968,Simbad. 0.86 alf tau; 1.64 gam ori,,,Z,,,,ALF ORI,AAM,STD,,,,
2458840.3590,1.1,,,Vis.,LCR,,"""02,11""",16,Tycho-2,,,,Z,,,,ALF ORI,AASABADELL,STD,,,,
2458840.41528,1.3,,,Vis.,SDAV,,0.8,1.8,ORI0708,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458840.50556,1.13,,,Vis.,SGQ,,Bet Gem mv=1.16,Alf Tau mv=0.86,Tirion2000.0 and Sim,"""Roma, Largo Argentina. Naked eye with airmass correction.""",,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458840.63542,1.2,,,Vis.,CKB,,08,17,13170BMV,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458840.65625,1.3,,,Vis.,DMIB,K,1.0,1.6,Tycho2,,,,Z,,,,BETELGEUSE,AAVSO,STD,,,,
2458840.67222,1.8,,,Vis.,SSHA,,17,19,10star,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458840.67500,1.1,,,Vis.,CJL,,Aldeberan,Procyon,English 10 Tutorial ,Star Chart for Alpha Orionis and eta Geminorium,,,Z,,,,alf Ori,AAVSO,STD,,,,
2458840.6812,4.799,0.005,,U,KPL,,SAO 112958,SAO 113186,PEP,|SCOPE=10IN_CASS|SENSOR=SSP5|LOC=32.4N/93.9W|INDEX=UB|DELTA=0.000|K_U_EST=0.60|TU_U=0.0|CREFMAG=5.68|PROG=TJC_PEP_6.6|NO TRANSFORM; NO 2ND ORDER EXTINCTION|,0,1.19,Z,-3.446,-0.242,,ALF ORI,AAVSO,STD,,,,
2458840.71875,1.2,,,Vis.,DMPA,U,17,09,10star,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458841.26597,1.3,,,Vis.,DMIB,K,1.2,1.6,Tycho2,,,,Z,,,,BETELGEUSE,AAVSO,STD,,,,
2458841.26944,0.9,,,Vis.,GGC,,Rigel,Pollux,Naked eye,"""All stars on the rise, they share same elevation above horizon""",,,Z,,,,alf Ori,,STD,,,,
2458841.40278,1.3,,,Vis.,MFB,,0.86,0.13,x26960JK,stimata con il metodo argelander,,,Z,,,,ALF ORI,UAI,STD,,,,
2458841.404,1.5,,,Vis.,VOL,,09,16,10star tutorial,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458841.4149,1.284,0.032,,V,VOL,,GAM ORI = HD35468,ZET ORI = HD37742,,,1,1.34,Z,1.64,1.773,,ALF ORI,AAVSO,STD,,,,
2458841.5,1.2,,,Vis.,WPT,,0.8(alf Tau),1.6(gam Ori),Astronomical Almanac,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458841.5,1.4,,,Vis.,WPT,,0.8(alf Tau),1.6(gam Ori),Astronomical Almanac,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458841.51806,1.13,,,Vis.,SGQ,,Bet Gem mv=1.16,Alf Tau mv=0.86,Tirion2000.0 and Sim,"""Vaticano, S. Anna, naked eye with airmass correction.""",,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458841.59722,1.8,,,Vis.,SSHA,,17,19,10star,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458841.66181,1.5,,,Vis.,ONJ,BD,12,17,ten star tutorial,star faint; background sky brighter than that of comparisons,,,Z,,,,ALF ORI,,STD,,,,
