JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2423585.189,8.26,,,Vis.,ZGB,,NA,,NA,"""V5G,B6V2G""",,,Z,,,,AC HER,,STD,,1928TrTas...1...33Z,BBI,
2423585.225,8.26,,,Vis.,ZGB,,NA,,NA,"""V5G,B8V2G""",,,Z,,,,AC HER,,STD,,1928TrTas...1...33Z,BBI,
2423585.325,8.29,,,Vis.,ZGB,,NA,,NA,"""B9V1G,V3-4G""",,,Z,,,,AC HER,,STD,,1928TrTas...1...33Z,BBI,
2423591.284,8.34,,,Vis.,ZGB,,NA,,NA,VG,,,Z,,,,AC HER,,STD,,1928TrTas...1...33Z,BBI,
2423591.351,8.37,,,Vis.,ZGB,,NA,,NA,G1-2V11,,,Z,,,,AC HER,,STD,,1928TrTas...1...33Z,BBI,
2423593.325,8.38,,,Vis.,ZGB,,NA,,NA,"""G2-3V,G1V9D""",,,Z,,,,AC HER,,STD,,1928TrTas...1...33Z,BBI,
2423602.191,8.00,,,Vis.,ZGB,,NA,,NA,"""B1V9G,B3-2V""",,,Z,,,,AC HER,,STD,,1928TrTas...1...33Z,BBI,
2423603.190,7.98,,,Vis.,ZGB,,NA,,NA,"""B1-2V,A9B1V""",,,Z,,,,AC HER,,STD,,1928TrTas...1...33Z,BBI,
2423604.193,7.90,,,Vis.,ZGB,,NA,,NA,"""1B,A9-8V1-2B""",,,Z,,,,AC HER,,STD,,1928TrTas...1...33Z,BBI,
2423604.247,7.86,,,Vis.,ZGB,,NA,,NA,"""V3B,B6V4B""",,,Z,,,,AC HER,,STD,,1928TrTas...1...33Z,BBI,
2423605.188,7.82,,,Vis.,ZGB,,NA,,NA,"""V4B,A4V,A4V6B""",,,Z,,,,AC HER,,STD,,1928TrTas...1...33Z,BBI,
2423605.225,7.71,,,Vis.,ZGB,,NA,,NA,VA,,,Z,,,,AC HER,,STD,,1928TrTas...1...33Z,BBI,
2423605.265,7.79,,,Vis.,ZGB,,NA,,NA,A4V6B,,,Z,,,,AC HER,,STD,,1928TrTas...1...33Z,BBI,
2423606.197,7.87,,,Vis.,ZGB,,NA,,NA,"""A6V4B,V2B""",,,Z,,,,AC HER,,STD,,1928TrTas...1...33Z,BBI,
2423606.248,7.86,,,Vis.,ZGB,,NA,,NA,"""A6V4B,V3B""",,,Z,,,,AC HER,,STD,,1928TrTas...1...33Z,BBI,
2423607.191,7.98,,,Vis.,ZGB,,NA,,NA,B1-2V,,,Z,,,,AC HER,,STD,,1928TrTas...1...33Z,BBI,
2423607.231,7.96,,,Vis.,ZGB,,NA,,NA,B0-1V,,,Z,,,,AC HER,,STD,,1928TrTas...1...33Z,BBI,
2423607.308,7.87,,,Vis.,ZGB,,NA,,NA,"""V4B,A8V2B""",,,Z,,,,AC HER,,STD,,1928TrTas...1...33Z,BBI,
2423608.190,7.86,,,Vis.,ZGB,,NA,,NA,"""A6V4B,V3B""",,,Z,,,,AC HER,,STD,,1928TrTas...1...33Z,BBI,
2423608.220,7.95,,,Vis.,ZGB,,NA,,NA,VB,,,Z,,,,AC HER,,STD,,1928TrTas...1...33Z,BBI,
2423609.283,7.80,,,Vis.,ZGB,,NA,,NA,"""A3V7B,AVB,A4-5B6-5G""",,,Z,,,,AC HER,,STD,,1928TrTas...1...33Z,BBI,
2423609.352,7.84,,,Vis.,ZGB,,NA,,NA,"""AVB,V4-5B""",,,Z,,,,AC HER,,STD,,1928TrTas...1...33Z,BBI,
2423610.193,7.94,,,Vis.,ZGB,,NA,,NA,V1-0B,,,Z,,,,AC HER,,STD,,1928TrTas...1...33Z,BBI,
2423610.230,7.85,,,Vis.,ZGB,,NA,,NA,"""V4B,AVB""",,,Z,,,,AC HER,,STD,,1928TrTas...1...33Z,BBI,
2423610.275,7.88,,,Vis.,ZGB,,NA,,NA,"""A8V2B,V3B""",,,Z,,,,AC HER,,STD,,1928TrTas...1...33Z,BBI,
