JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2458861.58264,<1.8,,,Vis.,BETB,BU,17,20,X25077MA,High cirrus clouds.,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458861.58634,1.5,,,Vis.,NREA,BK,1.6,.9,Ten Star,,,,Z,,,,alf Ori,RASC,STD,,,,
2458861.58958,1.4,,,Vis.,MJHA,B,1.6,.9,Ten Star,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458861.60069,1.50,,,Vis.,ASA,,160,170,X25059AKB,,,,Z,,,,BETELGEUSE,AAVSO,STD,,,,
2458861.60486,1.6,,,Vis.,ACN,,1.6,,X25030AU,"""VISDIG; Photo RGKA 5876, Gam Ori  (1.6)""",,,Z,,,,ALF ORI,REA,STD,,,,
2458861.60556,1.45,,,Vis.,RBK,,1.9,1.7,10 star,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458861.6120,-3.054,0.006,,J,PGD,,HR1790,,,,1,,Z,,,,ALF ORI,AAVSO,STD,2,,,
2458861.6120,-3.891,0.005,,H,PGD,,HR1790,,,,1,,Z,,,,ALF ORI,AAVSO,STD,2,,,
2458861.68750,1.5,,,Vis.,HTN,,17,19,training chart,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458862.0313,1.4,,,Vis.,PEX,,09,19,10 STAR TUTORIAL,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458862.14583,1.2,,,Vis.,DARB,B,ALNILAM,,X25078HN,,,,Z,,,,BETELGEUSE,,STD,,,,
2458862.21389,1.6,,,Vis.,GPIA,B,08,16,X24928PS,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458862.23513,1.645,,,CV,OAAA,,ALNITAK,SAIPH,10 STAR TUTORIAL,,0,,Z,1.795,2.164,2458862.2405208 ,BETELGEUSE,AAVSO,STD,,,,
2458862.238877,1.715,,,CV,OAAA,,ALNITAK,SAIPH,10 STAR TUTORIAL,,0,,Z,1.780,2.173,2458862.2438657,BETELGEUSE,AAVSO,STD,,,,
2458862.23958,1.7,,,Vis.,NAO,,1.6,1.8,AAVSO Alert Notice 6,"""Naked eye, Petrozavodsk, Karelia, Russia""",,,Z,,,,BETELGEUSE,AAVSO,STD,,,,
2458862.241644,1.616,,,CV,OAAA,,ALNITAK,SAIPH,10 STAR TUTORIAL,,0,,Z,1.836,2.152,,BETELGEUSE,AAVSO,STD,,,,
2458862.26042,1.40,,,Vis.,SGQ,B,bet Gem mv=1.16,alf Gem mv=1.58,Tirion2000.0/Simbad,"""Roma, ITIS Ferraris, naked eye with airmass correction.""",,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458862.3,1.4,,,Vis.,SPAO,,09,19,2008,,,,Z,,,,ALF ORI,UAI,STD,,,,
2458862.31597,1.4,,,Vis.,BSIA,BUK,11,17,X23917IO,naked eye,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458862.33542,1.50,,,Vis.,NMMA,,1.64,1.71,X25071AZ,gamma Ori and epsilon Ori. Atmospere was taken into account.,,,Z,,,,BETELGEUSE,AAVSO,STD,,,,
2458862.35417,1.6,,,Vis.,DCMA,K,1.6,1.7,X24965K,Chart from The SkyX First Light Edition software,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458862.358,1.6,,,Vis.,LTO,,1.79,2.06,NA,,,,Z,,,,ALF ORI,BAV,STD,,,,
2458862.38194,1.43,,,Vis.,PIV,B,Bellatrix,Pollux,MarSEC 2020,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458862.40377,1.518,0.003,,V,RZD,,ENSEMBLE,,200115,,0,1.232,Z,,,,ALF ORI,AAVSO,STD,,,,
2458862.40377,1.579,0.003,,V,RZD,,ENSEMBLE,,200115,,0,1.232,Z,,,,ALF ORI,AAVSO,STD,,,,
2458862.40625,1.5,,,Vis.,MJOE,,19,12,10 Stars,,,,Z,,,,ALF ORI,,STD,,,,
2458862.45833,1.2,,,Vis.,KMY,K,1.64,2.06,S.Otero 2001,,,,Z,,,,ALF ORI,,STD,,,,
2458862.46597,1.3,,,Vis.,SBN,U,08,41,X25076ATU,"""Aldebaran is first comparison star, mag (V) (SIMBAD). """,,,Z,,,,ALF ORI,REA,STD,,,,
